ps3,best_match,percent,all_matches,,,,
sprites\ros\1\ros_a25_ikari4.png,bmp\tati\ros\1\ros_ikaria4,100,"('bmp\\tati\\ros\\1\\ros_ikaria4', 1)",,,,
sprites\eri\1\eri_a16b_odoroki1.png,bmp\tati\eri\1\eri_odorokia1,100,"('bmp\\tati\\eri\\1\\eri_odorokia1', 3)",,,,
sprites\kan\1\kan_a12b_ikari2.png,bmp\tati\kan\1\kan_ikaria2b,100,"('bmp\\tati\\kan\\1\\kan_ikaria2b', 1)",,,,
sprites\kan\1\kan_a12_fuman1.png,bmp\tati\kan\1\KAN_FumanA1,,,,,,
sprites\kan\1\kan_a12_warai3.png,bmp\tati\kan\1\kan_waraia3,100,"('bmp\\tati\\kan\\1\\kan_waraia3', 1)",,,,
sprites\eri\1\eri_a16b_akire1.png,bmp\tati\eri\1\eri_akirea1,100,"('bmp\\tati\\eri\\1\\eri_akirea1', 1)",,,,
sprites\eri\1\eri_a16b_akuwarai2.png,bmp\tati\eri\1\eri_akuwaraia2,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia2', 3)",,,,
sprites\eri\1\eri_a16b_futeki1a.png,bmp\tati\eri\1\eri_futekia1a,100,"('bmp\\tati\\eri\\1\\eri_futekia1a', 3)",,,,
sprites\kin\1\kin_a12_akuwarai1.png,bmp\tati\kin\1\kin_akuwaraia1,100,"('bmp\\tati\\kin\\1\\kin_akuwaraia1', 1)",,,,
sprites\eri\1\eri_a16b_ikari1a.png,bmp\tati\eri\1\eri_ikaria1a,100,"('bmp\\tati\\eri\\1\\eri_ikaria1a', 4)",,,,
sprites\nat\1\nat_a17_ikari2.png,bmp\tati\nat\1\nat_ikarib2g,100,"('bmp\\tati\\nat\\1\\nat_ikarib2g', 1)",,,,
sprites\kir\1\kir_a19_majime1.png,bmp\tati\kir\1\kir_majimeb1g,100,"('bmp\\tati\\kir\\1\\kir_majimeb1g', 1)",,,,
sprites\eva\1\eva_b24_futeki1.png,bmp\tati\eva\1\eva_futekia1g,100,"('bmp\\tati\\eva\\1\\eva_futekia1g', 1)",,,,
sprites\ros\1\ros_b26_ikari1.png,bmp\tati\ros\1\ros_ikarib1g,100,"('bmp\\tati\\ros\\1\\ros_ikarib1g', 1)",,,,
sprites\wal\1\wal_a13_ikari2.png,bmp\tati\wal\1\wal_ikaria2,100,"('bmp\\tati\\wal\\1\\wal_ikaria2', 2)",,,,
sprites\gap\1\gap_a15_aseru1.png,bmp\tati\gap\1\gap_aserua1,100,"('bmp\\tati\\gap\\1\\gap_aserua1', 1)",,,,
sprites\bea\1\bea_a14_aseru1.png,bmp\tati\bea\1\bea_aserua1,100,"('bmp\\tati\\bea\\1\\bea_aserua1', 1)",,,,
sprites\rg6\1\rg6_a12b_ikari1.png,bmp\tati\rg6\1\rg6_ikaria1,100,"('bmp\\tati\\rg6\\1\\rg6_ikaria1', 1)",,,,
sprites\eri\1\eri_a16b_futeki1.png,bmp\tati\eri\1\eri_futekia1,100,"('bmp\\tati\\eri\\1\\eri_futekia1', 2)",,,,
sprites\eri\1\eri_a16b_akuwarai4.png,bmp\tati\eri\1\eri_akuwaraia4,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia4', 2)",,,,
sprites\eri\1\eri_a16b_akuwarai6.png,bmp\tati\eri\1\eri_akuwaraia6,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia6', 3)",,,,
sprites\eri\1\eri_b14b_akuwarai2.png,bmp\tati\eri\1\eri_akuwaraia2,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia2', 1)",,,,
sprites\eri\1\eri_ak16b_akuwarai1.png,bmp\tati\eri\3\eri_akuwaraia1,100,"('bmp\\tati\\eri\\3\\eri_akuwaraia1', 1)",,,,
sprites\eri\1\eri_ak16b_def2.png,bmp\tati\eri\3\eri_defa2,100,"('bmp\\tati\\eri\\3\\eri_defa2', 1)",,,,
bmp\tati\jes\1\jes_odorokia1,bmp\tati\jes\1\jes_ikaria1,100,"('bmp\\tati\\jes\\1\\jes_ikaria1', 1)",,,,
bmp\tati\ger\1\ger_odorokia1,bmp\tati\sha\1\sha_odorokia2,100,"('bmp\\tati\\sha\\1\\sha_odorokia2', 1)",,,,
sprites\kir\1\kir_a19_komaru1.png,bmp\tati\kir\1\kir_komarub1g,100,"('bmp\\tati\\kir\\1\\kir_komarub1g', 7)",,,,
sprites\rud\1\rud_a15_warai2.png,bmp\tati\rud\1\rud_waraib2g,100,"('bmp\\tati\\rud\\1\\rud_waraib2g', 2)",,,,
sprites\rud\1\rud_a14_warai1.png,bmp\tati\rud\1\rud_waraia1g,100,"('bmp\\tati\\rud\\1\\rud_waraia1g', 2)",,,,
sprites\eva\1\eva_b26_odoroki1.png,bmp\tati\eva\1\eva_odorokib1g,100,"('bmp\\tati\\eva\\1\\eva_odorokib1g', 1)",,,,
sprites\bea\1\bea_a14_akuwarai3.png,bmp\tati\bea\1\bea_akuwaraia3,100,"('bmp\\tati\\bea\\1\\bea_akuwaraia3', 1)",,,,
sprites\eva\1\eva_b26_ikari2.png,bmp\tati\eva\1\eva_ikarib2g,100,"('bmp\\tati\\eva\\1\\eva_ikarib2g', 2)",,,,
sprites\eri\1\eri_ak11_akuwarai6.png,bmp\tati\eri\3\eri_akuwaraia6,100,"('bmp\\tati\\eri\\3\\eri_akuwaraia6', 1)",,,,
sprites\bea\1\bea_a14_akuwarai4.png,bmp\tati\bea\1\bea_akuwaraia4,100,"('bmp\\tati\\bea\\1\\bea_akuwaraia4', 2)",,,,
sprites\nat\1\nat_a17_ikari1.png,bmp\tati\nat\1\nat_ikarib1g,100,"('bmp\\tati\\nat\\1\\nat_ikarib1g', 1)",,,,
sprites\nat\1\nat_a16_odoroki4.png,bmp\tati\rg4\1\rg4_defa1,100,"('bmp\\tati\\rg4\\1\\rg4_defa1', 1)",,,,
sprites\eri\1\eri_ak12_futeki1.png,bmp\tati\eri\3\eri_futekia1,100,"('bmp\\tati\\eri\\3\\eri_futekia1', 1)",,,,
sprites\eri\1\eri_ak11_akuwarai2.png,bmp\tati\eri\3\eri_akuwaraia2,100,"('bmp\\tati\\eri\\3\\eri_akuwaraia2', 1)",,,,
bmp\tati\ber\1\ber_defa2,bmp\tati\ber\1\ber_waraia3,100,"('bmp\\tati\\ber\\1\\ber_waraia3', 1)",,,,
sprites\eri\1\eri_ak16b_majime2.png,bmp\tati\eri\3\eri_majimea2,100,"('bmp\\tati\\eri\\3\\eri_majimea2', 1)",,,,
sprites\eri\1\eri_ak16b_akire2.png,bmp\tati\eri\3\eri_akirea2,100,"('bmp\\tati\\eri\\3\\eri_akirea2', 2)",,,,
sprites\eri\1\eri_ak16b_majime3.png,bmp\tati\eri\3\eri_majimea3,100,"('bmp\\tati\\eri\\3\\eri_majimea3', 2)",,,,
sprites\eri\1\eri_bk14b_akire1.png,bmp\tati\eri\3\eri_akirea2,100,"('bmp\\tati\\eri\\3\\eri_akirea2', 1)",,,,
sprites\bea\1\bea_a12_iiwake2.png,bmp\tati\bea\1\bea_iiwakea2,100,"('bmp\\tati\\bea\\1\\bea_iiwakea2', 1)",,,,
sprites\eri\1\eri_ak12_akire2.png,bmp\tati\eri\3\eri_akirea2,100,"('bmp\\tati\\eri\\3\\eri_akirea2', 1)",,,,
sprites\goh\1\goh_a13_ikari2.png,bmp\tati\goh\1\goh_ikaria2,100,"('bmp\\tati\\goh\\1\\goh_ikaria2', 1)",,,,
sprites\bea\1\bea_a12_iiwake3.png,bmp\tati\bea\1\bea_iiwakea3,100,"('bmp\\tati\\bea\\1\\bea_iiwakea3', 1)",,,,
sprites\eri\1\eri_ak11_akuwarai3.png,bmp\tati\eri\3\eri_akuwaraia3,100,"('bmp\\tati\\eri\\3\\eri_akuwaraia3', 1)",,,,
sprites\fea\1\fea_b11_def4.png,bmp\tati\fea\2\fea_defa4,100,"('bmp\\tati\\fea\\2\\fea_defa4', 2)",,,,
sprites\ev2\1\ev2_a12_akuwarai5.png,bmp\tati\ev2\2\ev2_akuwaraia5,100,"('bmp\\tati\\ev2\\2\\ev2_akuwaraia5', 1)",,,,
sprites\ev2\1\ev2_a12_akuwarai2.png,bmp\tati\ev2\2\ev2_akuwaraia2,100,"('bmp\\tati\\ev2\\2\\ev2_akuwaraia2', 1)",,,,
sprites\s00\1\s00_a13_majime2.png,bmp\tati\s00\1\s00_majimea2,100,"('bmp\\tati\\s00\\1\\s00_majimea2', 1)",,,,
